"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","genename","entrez"
"ENSG00000133318",1500.97300012898,-2.41401849883444,0.0690680721887584,-34.9512940253652,1.23760619414889e-267,4.14991858828926e-265,"RTN3","reticulon 3","10313"
"ENSG00000154864",1374.01910088605,2.35786042990079,0.0676832762470117,34.836676955408,6.77554401242539e-266,2.22147503020721e-263,"PIEZO2","piezo type mechanosensitive ion channel component 2","63895"
"ENSG00000197321",4211.22514661471,1.73283927593519,0.0497514630842043,34.8299159162889,8.57647267497523e-266,2.75081038796923e-263,"SVIL","supervillin","6840"
"ENSG00000182752",6930.41939676306,2.01487019569894,0.0588365433182892,34.2452170379735,5.13836406736825e-257,1.61300900957343e-254,"PAPPA","pappalysin 1","5069"
"ENSG00000198901",744.768135087352,-3.17652098959839,0.0928701287754318,-34.203904220694,2.11545038694774e-256,6.50236562688061e-254,"PRC1","protein regulator of cytokinesis 1","9055"
"ENSG00000277443",2830.20102519863,-1.92971757635609,0.0569242455807105,-33.8997479311347,6.71887893141865e-252,2.02306815824798e-249,"MARCKS","myristoylated alanine rich protein kinase C substrate","4082"
"ENSG00000168542",62749.3849250663,1.40989019840233,0.0418063486004981,33.7243085224987,2.54545118036223e-249,7.51111734301287e-247,"COL3A1","collagen type III alpha 1 chain","1281"
"ENSG00000146072",1758.22981855472,2.05910888555034,0.0611321276797725,33.6829252261027,1.02810293780878e-248,2.97424132243741e-246,"TNFRSF21","TNF receptor superfamily member 21","27242"
"ENSG00000145632",3262.15452178144,1.54674961547203,0.0460243819592284,33.6071784047475,1.31769411197301e-247,3.73870364000959e-245,"PLK2","polo like kinase 2","10769"
"ENSG00000140943",1848.88777327798,-1.89361784327075,0.0564684070240013,-33.5341112503117,1.53477285954253e-246,4.27246014522462e-244,"MBTPS1","membrane bound transcription factor peptidase, site 1","8720"
"ENSG00000102024",3591.26703399212,-1.70354659193329,0.0509601087578469,-33.4290219047262,5.19390786174958e-245,1.41909104800469e-242,"PLS3","plastin 3","5358"
"ENSG00000135046",4581.91768778281,-1.4640159114495,0.0439329001157926,-33.3239077682293,1.73984876181068e-243,4.66722338759177e-241,"ANXA1","annexin A1","301"
"ENSG00000081923",1549.06690179341,-2.52988619989441,0.0760092139505423,-33.2839410961486,6.5932284015851e-243,1.73708021137476e-240,"ATP8B1","ATPase phospholipid transporting 8B1","5205"
"ENSG00000163346",2917.79069939981,1.81056662201436,0.05470356451191,33.0977814365308,3.19851269748904e-240,8.27909760329005e-238,"PBXIP1","PBX homeobox interacting protein 1","57326"
"ENSG00000187678",2363.67043987816,1.72415483189413,0.0522701778398872,32.9854403246057,1.31369113041058e-238,3.34175843759961e-236,"SPRY4","sprouty RTK signaling antagonist 4","81848"
"ENSG00000163017",4893.9021785664,-1.87095249165046,0.0567964579545463,-32.9413586521147,5.62520534804957e-238,1.4066827068665e-235,"ACTG2","actin gamma 2, smooth muscle","72"
"ENSG00000152894",4900.8667898464,1.68614754696903,0.0515037594735052,32.738339185442,4.44954348197543e-235,1.09414274221776e-232,"PTPRK","protein tyrosine phosphatase receptor type K","5796"
"ENSG00000143341",2279.33849385387,2.05720946158248,0.0629925114453727,32.6580003619397,6.16939827396847e-234,1.49218528088739e-231,"HMCN1","hemicentin 1","83872"
"ENSG00000115461",200904.539632615,1.27117471085652,0.0389873664647934,32.604785245098,3.50828510194155e-233,8.3485868377493e-231,"IGFBP5","insulin like growth factor binding protein 5","3488"
"ENSG00000104321",7567.20986030083,3.29744633697212,0.101231296318792,32.5733884369905,9.76966579469045e-233,2.28796268468036e-230,"TRPA1","transient receptor potential cation channel subfamily A member 1","8989"
"ENSG00000113721",11145.9451572206,1.38865862865083,0.042897482122195,32.3715649486183,6.89943141970108e-230,1.59053454947296e-227,"PDGFRB","platelet derived growth factor receptor beta","5159"
"ENSG00000164924",9585.69435022083,-1.33707455466228,0.0417126480701134,-32.0544155435742,1.90535970763074e-225,4.32487340405907e-223,"YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta","7534"
"ENSG00000173334",1074.47707273372,2.41256199115945,0.0759164041352394,31.779192107962,1.25506730571475e-221,2.80564591341143e-219,"TRIB1","tribbles pseudokinase 1","10221"
"ENSG00000160014",4226.55595021453,-1.42461130954275,0.0449230268066048,-31.7122734333051,1.05241788800415e-220,2.31751843576316e-218,"CALM3","calmodulin 3","808"
"ENSG00000148175",3890.72249473237,1.38275935255239,0.0437425179473042,31.6113341764681,2.57952645986797e-219,5.5968137336606e-217,"STOM","stomatin","2040"
"ENSG00000171951",793.124579134864,2.98016310498545,0.0943819972704494,31.5755460911244,7.99970833080929e-219,1.71054632917044e-216,"SCG2","secretogranin II","7857"
"ENSG00000153234",635.93920101828,4.3264077758026,0.137032426265836,31.5721460511076,8.90724413004887e-219,1.87739256992487e-216,"NR4A2","nuclear receptor subfamily 4 group A member 2","4929"
"ENSG00000164761",5291.78842553364,1.48922391534197,0.047410256855529,31.4114289631463,1.41265544491631e-216,2.93553780764721e-214,"TNFRSF11B","TNF receptor superfamily member 11b","4982"
"ENSG00000134057",780.375869741297,-2.66975909690721,0.0850915116619597,-31.3751518190589,4.41710004896498e-216,9.05137418367073e-214,"CCNB1","cyclin B1","891"
"ENSG00000135074",13374.6004179129,1.14188898914371,0.0363987409629977,31.3716617369962,4.92877345943493e-216,9.96152378363054e-214,"ADAM19","ADAM metallopeptidase domain 19","8728"
"ENSG00000128591",23487.8410667789,-1.33084139992718,0.0432786266467958,-30.7505460094286,1.20240107692617e-207,2.39732776877956e-205,"FLNC","filamin C","2318"
"ENSG00000127920",2352.92723869813,2.10488854243809,0.0685910537341722,30.6875084700649,8.3546651760091e-207,1.64352973342451e-204,"GNG11","G protein subunit gamma 11","2791"
"ENSG00000105088",793.128211520276,2.86562585502177,0.0934444338019159,30.6666297651965,1.58631168024589e-206,3.07953191188787e-204,"OLFM2","olfactomedin 2","93145"
"ENSG00000092820",1475.49048809515,-1.91025660589575,0.0625712946278218,-30.5292805152599,1.06537508793168e-204,2.04136935679791e-202,"EZR","ezrin","7430"
"ENSG00000183287",603.48721362449,-3.436109185756,0.112997107887573,-30.4088241725159,4.19913010088495e-203,7.94281609082775e-201,"CCBE1","collagen and calcium binding EGF domains 1","147372"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564266983e-202,7.34696093568997e-200,"GDF15","growth differentiation factor 15","9518"
"ENSG00000171246",11339.2021259297,1.74021926020602,0.0574719541070875,30.2794517298554,2.13754238016494e-201,3.94216253461919e-199,"NPTX1","neuronal pentraxin 1","4884"
"ENSG00000076513",2351.57847713981,-1.94451433589439,0.0645262741259618,-30.135233472469,1.67481171919958e-199,3.0506385314902e-197,"ANKRD13A","ankyrin repeat domain 13A","88455"
"ENSG00000176014",5059.66070673934,-1.58287883735277,0.0526625745786306,-30.0569968334793,1.76884785992091e-198,3.18263186893574e-196,"TUBB6","tubulin beta 6 class V","84617"
"ENSG00000068489",527.868372422254,-3.28311258391777,0.109401846260639,-30.0096634210001,7.34104325629985e-198,1.30493677353552e-195,"PRR11","proline rich 11","55771"
"ENSG00000089159",2841.04018824034,-1.52007282825453,0.0507616642849857,-29.9452913860458,5.06700387154768e-197,8.89983037152553e-195,"PXN","paxillin","5829"
"ENSG00000112984",587.875352632019,-3.36365680001687,0.112773759026444,-29.8265911241652,1.76651997406299e-195,3.06626302321474e-193,"KIF20A","kinesin family member 20A","10112"
"ENSG00000003436",3855.53263789867,1.53740403929091,0.0515649231566346,29.8149196231878,2.50291232424245e-195,4.29394981765966e-193,"TFPI","tissue factor pathway inhibitor","7035"
"ENSG00000116729",14027.992136521,1.67569487585242,0.0564166010544914,29.7021593738678,7.20107911202271e-194,1.22040770816518e-191,"WLS","Wnt ligand secretion mediator","79971"
"ENSG00000171617",3172.76514957676,1.7230403058603,0.0580113152201207,29.7017969567199,7.27910250227302e-194,1.22040770816518e-191,"ENC1","ectodermal-neural cortex 1","8507"
"ENSG00000173546",2782.7113944163,-1.70836053260098,0.0575941295653053,-29.662060100481,2.37079357258845e-193,3.93018970449101e-191,"CSPG4","chondroitin sulfate proteoglycan 4","1464"
"ENSG00000122641",8425.96553258608,1.39132775322116,0.0469878372112624,29.6103808090932,1.0985140024296e-192,1.80083062131627e-190,"INHBA","inhibin subunit beta A","3624"
"ENSG00000133818",917.65645300902,-2.58022994832454,0.0872303197088443,-29.5795080992111,2.74196632636266e-192,4.44560122847854e-190,"RRAS2","RAS related 2","22800"
"ENSG00000111615",1215.27891511062,1.9567704307585,0.0663760811211219,29.48005362335,5.18784996234928e-191,8.31973242875014e-189,"KRR1","KRR1 small subunit processome component homolog","11103"
"ENSG00000064666",5624.42477846777,-1.64273183329818,0.0557716982088856,-29.4545779679424,1.09998439730639e-190,1.7450720212751e-188,"CNN2","calponin 2","1265"
"ENSG00000134250",3989.90689953644,-1.35592776101052,0.0460501458480986,-29.4445921079858,1.47655804374858e-190,2.31756780611346e-188,"NOTCH2","notch receptor 2","4853"
"ENSG00000066279",593.333577786577,-3.10048884483019,0.10536440355975,-29.4263407761993,2.52835481394978e-190,3.92666809737001e-188,"ASPM","assembly factor for spindle microtubules","259266"
"ENSG00000116991",845.465812777274,2.42014865392117,0.0824494797375006,29.3531100696613,2.18081805455741e-189,3.35164474759792e-187,"SIPA1L2","signal induced proliferation associated 1 like 2","57568"
"ENSG00000156011",1865.6956706154,1.74119412410087,0.0593370019850899,29.3441539991926,2.83730010966646e-189,4.31562121835247e-187,"PSD3","pleckstrin and Sec7 domain containing 3","23362"
"ENSG00000159399",1648.34458773227,1.92240040793008,0.0659490989517643,29.1497600192558,8.41273252887199e-187,1.26654546664263e-184,"HK2","hexokinase 2","3099"
"ENSG00000157557",2128.88768598769,1.84664194734667,0.0635784337831416,29.0450996897052,1.77448669752088e-185,2.64452290254778e-183,"ETS2","ETS proto-oncogene 2, transcription factor","2114"
"ENSG00000103257",3712.52147667185,-1.50764330929453,0.0520551632799754,-28.9624162964539,1.95795248691479e-184,2.88876309919408e-182,"SLC7A5","solute carrier family 7 member 5","8140"
"ENSG00000065911",1563.07540926849,-1.94825249993054,0.0673374974448222,-28.9326537792258,4.63889644297903e-184,6.77646318016957e-182,"MTHFD2","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase","10797"
"ENSG00000136153",4620.22110366109,-1.40313136367342,0.0486375327335112,-28.8487364554711,5.25520470157018e-183,7.60149903597711e-181,"LMO7","LIM domain 7","4008"
"ENSG00000135318",10396.875971113,-1.18098787420491,0.0409964043182562,-28.8071086682838,1.74737916397835e-182,2.50299341605209e-180,"NT5E","5'-nucleotidase ecto","4907"
"ENSG00000171444",1285.81453923875,1.85633936536551,0.0644924712570349,28.7838150590798,3.42011533495588e-182,4.8519597742249e-180,"MCC","MCC regulator of WNT signaling pathway","4163"
"ENSG00000145147",601.510428483162,-2.6863081902841,0.093436167795457,-28.7501965637626,9.00647321308557e-182,1.26553815034157e-179,"SLIT2","slit guidance ligand 2","9353"
"ENSG00000182481",2566.38058699848,-1.61375816427449,0.0561603398586633,-28.7348361554752,1.40128319736991e-181,1.95042757490525e-179,"KPNA2","karyopherin subunit alpha 2","3838"
"ENSG00000108829",3850.57518186778,-1.47517609593281,0.0513457658429196,-28.7302384474266,1.59943723064745e-181,2.20542961691332e-179,"LRRC59","leucine rich repeat containing 59","55379"
"ENSG00000088448",1041.5088322989,2.36777272044306,0.0824391278294133,28.721467375814,2.05836700238185e-181,2.81195803269831e-179,"ANKRD10","ankyrin repeat domain 10","55608"
"ENSG00000108932",593.620514665934,3.86329422850941,0.135042980302051,28.6078863178847,5.36043432738871e-180,7.25576587764157e-178,"SLC16A6","solute carrier family 16 member 6","9120"
"ENSG00000100345",41759.3349472728,-1.22519578050119,0.0428453768679302,-28.5957522156435,7.58767798463779e-180,1.01771455441224e-177,"MYH9","myosin heavy chain 9","4627"
"ENSG00000171848",822.67379311788,-2.5328064759672,0.0890287121791516,-28.4493217297186,4.96814084876647e-178,6.60359910654959e-176,"RRM2","ribonucleotide reductase regulatory subunit M2","6241"
"ENSG00000038427",13753.9971136825,1.28379347829211,0.0451331145487055,28.4446019542193,5.68297280136869e-178,7.48630184923158e-176,"VCAN","versican","1462"
"ENSG00000141429",3588.58297366052,1.50607086816905,0.0530931788051683,28.3665604897336,5.23016681836022e-177,6.82883904761829e-175,"GALNT1","polypeptide N-acetylgalactosaminyltransferase 1","2589"
"ENSG00000155903",1023.35613415789,2.05089158351227,0.0724505356556458,28.3074730221466,2.79630988086647e-176,3.61901368265823e-174,"RASA2","RAS p21 protein activator 2","5922"
"ENSG00000091039",4444.70184434491,1.57257792716769,0.0556189553840254,28.274136331934,7.18932920119504e-176,9.22359678560276e-174,"OSBPL8","oxysterol binding protein like 8","114882"
"ENSG00000147065",17820.4971549208,-1.03012530642751,0.0365228229247493,-28.2049749700331,5.08117177360127e-175,6.46272485756148e-173,"MSN","moesin","4478"
"ENSG00000117399",548.054729960495,-3.23340373493714,0.114651721709683,-28.2019640588097,5.53209469869506e-175,6.97611326363649e-173,"CDC20","cell division cycle 20","991"
"ENSG00000135926",1251.33626199858,-1.85342990574707,0.0659124213805922,-28.1195845475768,5.64500035745716e-174,7.05816400626466e-172,"TMBIM1","transmembrane BAX inhibitor motif containing 1","64114"
"ENSG00000173801",2853.13714423843,1.54852031437219,0.0552347199536797,28.0352704905681,6.04059391062982e-173,7.48932122331365e-171,"JUP","junction plakoglobin","3728"
"ENSG00000163661",1909.80217231797,-1.64964804939515,0.0590533744179021,-27.9348651225435,1.00678481501383e-171,1.2378419300595e-169,"PTX3","pentraxin 3","5806"
"ENSG00000185112",747.773002441521,2.65534841445795,0.0952230065994099,27.8855762833517,3.9915744621252e-171,4.86708178629713e-169,"FAM43A","family with sequence similarity 43 member A","131583"
"ENSG00000103449",1051.52143130918,2.35381530129993,0.084434038004532,27.8775640361247,4.99214871274655e-171,6.03722640228383e-169,"SALL1","spalt like transcription factor 1","6299"
"ENSG00000170759",4331.58598921615,-1.28570159441468,0.0461355798461976,-27.8678971566159,6.53815283248975e-171,7.84259405614258e-169,"KIF5B","kinesin family member 5B","3799"
"ENSG00000057657",689.791384929011,2.83420145486982,0.101922368702903,27.8074527793926,3.52495005097487e-170,4.19412202032929e-168,"PRDM1","PR/SET domain 1","639"
"ENSG00000109685",1268.17937848349,-1.8911024176115,0.0682347232550524,-27.7146638456026,4.64845066232191e-169,5.4866592857518e-167,"NSD2","nuclear receptor binding SET domain protein 2","7468"
"ENSG00000172795",852.701537725169,2.13206737939772,0.0770835743691426,27.659166000626,2.165199004881e-168,2.53534493000113e-166,"DCP2","decapping mRNA 2","167227"
"ENSG00000184838",1048.67798618006,2.27794331497045,0.0824087394895217,27.6420113823011,3.48151090058305e-168,4.04458360844112e-166,"PRR16","proline rich 16","51334"
"ENSG00000166510",570.336073336896,2.83088461025262,0.10292788446336,27.5035732543435,1.59110643198169e-166,1.8339987732389e-164,"CCDC68","coiled-coil domain containing 68","80323"
"ENSG00000076706",1719.55770882045,-1.57938242129601,0.0575011783232795,-27.4669575015752,4.35860484875999e-166,4.98502759213991e-164,"MCAM","melanoma cell adhesion molecule","4162"
"ENSG00000102225",1340.69055489962,-1.74229970819447,0.0634971545468501,-27.4390202305671,9.39453901878344e-166,1.06620791294716e-163,"CDK16","cyclin dependent kinase 16","5127"
"ENSG00000197565",563.648360733133,3.41302170307903,0.124605048110961,27.3907177503734,3.53780645398201e-165,3.98448827649241e-163,"COL4A6","collagen type IV alpha 6 chain","1288"
"ENSG00000161800",563.923688119321,-2.79230082382021,0.102045843626786,-27.3631999558211,7.52223196996867e-165,8.40780382461498e-163,"RACGAP1","Rac GTPase activating protein 1","29127"
"ENSG00000113387",1168.42585268541,-2.03750868096321,0.0744625124096974,-27.362878514664,7.58877530151234e-165,8.41840532319648e-163,"SUB1","SUB1 regulator of transcription","10923"
"ENSG00000166851",502.683929770066,-3.32923741741875,0.121688979500919,-27.3585778356668,8.53774309058915e-165,9.4004374297427e-163,"PLK1","polo like kinase 1","5347"
"ENSG00000152223",2690.47150334747,-1.50606742291765,0.0550770508525876,-27.3447361397146,1.24733546092812e-164,1.36319906596544e-162,"EPG5","ectopic P-granules 5 autophagy tethering factor","57724"
"ENSG00000076641",954.690284174,2.03263249197315,0.0744909387905079,27.2869764427262,6.05493783097395e-164,6.56871711457277e-162,"PAG1","phosphoprotein membrane anchor with glycosphingolipid microdomains 1","55824"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117042,27.2855920323927,6.28835886268572e-164,6.77214939124563e-162,"SLC6A15","solute carrier family 6 member 15","55117"
"ENSG00000136378",1190.06353560081,2.13136943569511,0.0788327305720975,27.0366054838838,5.48949071174472e-161,5.86898159138272e-159,"ADAMTS7","ADAM metallopeptidase with thrombospondin type 1 motif 7","11173"
"ENSG00000089685",509.548185635596,-3.097661031905,0.114589407045888,-27.0326997212275,6.10171879426197e-161,6.47660137342022e-159,"BIRC5","baculoviral IAP repeat containing 5","332"
"ENSG00000111206",489.63700653501,-3.02314009593891,0.1119288253649,-27.0094864846758,1.1434947866027e-160,1.20508014868116e-158,"FOXM1","forkhead box M1","2305"
"ENSG00000174574",1409.88985133804,-1.74444146026819,0.0649482701026632,-26.8589364660639,6.63278235149347e-159,6.94043055417977e-157,"AKIRIN1","akirin 1","79647"
"ENSG00000167553",3002.80270522025,-1.43654751216175,0.053510582812744,-26.8460449625233,9.38086634494079e-159,9.74685225727158e-157,"TUBA1C","tubulin alpha 1c","84790"
"ENSG00000075426",1241.54577193998,-2.02417343922894,0.0754066735931277,-26.8434256913491,1.00651912785973e-158,1.03847435052045e-156,"FOSL2","FOS like 2, AP-1 transcription factor subunit","2355"
"ENSG00000113319",1375.65463563177,1.72034861201094,0.0641522047598338,26.8166716709332,2.06535898801271e-158,2.11613239646802e-156,"RASGRF2","Ras protein specific guanine nucleotide releasing factor 2","5924"
"ENSG00000205542",10772.7240037773,-1.36860141667853,0.0510598841190637,-26.8038488588647,2.91410850451588e-158,2.96515564659499e-156,"TMSB4X","thymosin beta 4 X-linked","7114"
"ENSG00000147883",1092.60954361111,2.17982979420979,0.0813913269093608,26.7820894066182,5.22457868933265e-158,5.27968725906944e-156,"CDKN2B","cyclin dependent kinase inhibitor 2B","1030"
"ENSG00000119326",1060.1999959954,-2.06902763036398,0.0775868059517076,-26.667261333735,1.12888645630613e-156,1.13303338614562e-154,"CTNNAL1","catenin alpha like 1","8727"
"ENSG00000100106",1548.43376339178,-1.54579702553892,0.0580504853328676,-26.6284944333395,3.17636687927762e-156,3.16649438762581e-154,"TRIOBP","TRIO and F-actin binding protein","11078"
"ENSG00000125384",562.779146692896,-2.72049307005402,0.102236932877154,-26.6096898008757,5.24358146562862e-156,5.19220140562984e-154,"PTGER2","prostaglandin E receptor 2","5732"
"ENSG00000125845",1172.2386809597,5.52533661138904,0.207771211150542,26.5933696049239,8.09914671382401e-156,7.9663207077173e-154,"BMP2","bone morphogenetic protein 2","650"
"ENSG00000134333",9887.50008844397,-1.01647209043677,0.0383140635560749,-26.529999590075,4.37001752702439e-155,4.26988335057734e-153,"LDHA","lactate dehydrogenase A","3939"
"ENSG00000157227",22662.7967620428,1.09975936182814,0.0415181804493303,26.4886213684221,1.31081166240575e-154,1.27234968862726e-152,"MMP14","matrix metallopeptidase 14","4323"
"ENSG00000167900",535.537322697115,-2.99316984531097,0.113333402870152,-26.4103059601969,1.04332687756409e-153,1.00609442820788e-151,"TK1","thymidine kinase 1","7083"
"ENSG00000091409",2615.20252718009,-1.34488157112989,0.0509516581236695,-26.395246409167,1.55363482857473e-153,1.48846287407737e-151,"ITGA6","integrin subunit alpha 6","3655"
"ENSG00000091844",494.500786591075,2.80821461979186,0.106412973431436,26.3897768217261,1.79527827121105e-153,1.70887326538373e-151,"RGS17","regulator of G protein signaling 17","26575"
"ENSG00000169439",2385.18491369971,1.32446365486611,0.0502228270275091,26.3717463403773,2.89070201966058e-153,2.73393702551745e-151,"SDC2","syndecan 2","6383"
"ENSG00000100647",1393.45153066727,1.71995059227826,0.065235370480971,26.3653073416662,3.42646730954806e-153,3.22000628567338e-151,"SUSD6","sushi domain containing 6","9766"
"ENSG00000139318",1424.14713666972,1.67884326172024,0.0638947453537294,26.2751381576991,3.69002687399448e-152,3.44573775309586e-150,"DUSP6","dual specificity phosphatase 6","1848"
"ENSG00000071127",10996.1867655617,-1.00330193008526,0.0382024978411073,-26.2627311506755,5.11421309955883e-152,4.74560377804346e-150,"WDR1","WD repeat domain 1","9948"
"ENSG00000042062",529.580434708431,3.50771136339453,0.134086229283586,26.1601163828382,7.56113412244507e-151,6.97231080265966e-149,"RIPOR3","RIPOR family member 3","140876"
